"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Login with valid credentials","firefox","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with invalid username","mobile-safari","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","get started link","chromium","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","Login with invalid password","webkit","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with invalid password","chromium","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with invalid password","mobile-safari","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with valid credentials","mobile-safari","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","get started link","webkit","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","Login with invalid username","webkit","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Password field is required","chromium","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Empty credentials validation","webkit","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with invalid username","firefox","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with invalid username","chromium","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","get started link","firefox","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","6","Login with invalid password","firefox","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Empty credentials validation","mobile-chrome","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Empty credentials validation","chromium","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Login with invalid password","mobile-chrome","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","Login with valid credentials","chromium","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Password field is required","firefox","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","has title","chromium","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","6","Empty credentials validation","mobile-safari","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","has title","webkit","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","has title","firefox","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","has title","mobile-chrome","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","has title","mobile-safari","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","Login with valid credentials","webkit","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","get started link","mobile-chrome","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","5","Login with invalid username","mobile-chrome","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Password field is required","mobile-chrome","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","Empty credentials validation","firefox","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","6","Login with valid credentials","mobile-chrome","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","Password field is required","webkit","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
"","5","get started link","mobile-safari","2026-01-13","failed","2026-01-13","","example.spec.ts","",""
"","4","Password field is required","mobile-safari","2026-01-13","failed","2026-01-13","Auth Suite","parentSuite/login.spec.ts","",""
